Order_ID,Order_Date,Ship_Date,Region,State,City,Segment,Category,Sub_Category,Product,Quantity,Discount,Sales,Profit
ORD-2025-05077,2024-01-01,2024-01-05,Central,Chhattisgarh,Raipur,Home Office,Technology,Phones,Smartphone A,7,0.044,61403.57,12230.17
ORD-2024-01486,2024-01-01,2024-01-06,South,Kerala,Kochi,Corporate,Technology,Phones,Smartphone A,1,0.113,8988.71,-235.16
ORD-2024-02256,2024-01-01,2024-01-02,East,Assam,Guwahati,Corporate,Office Supplies,Binders,Sheet Protectors,5,0.071,1359.91,240.84
ORD-2024-05754,2024-01-01,2024-01-02,West,Gujarat,Vadodara,Home Office,Technology,Computers,Laptop Air,6,0.238,56372.81,-11126.32
ORD-2025-02313,2024-01-01,2024-01-07,North,Delhi,New Delhi,Corporate,Furniture,Tables,Side Table,4,0.09,23216.03,1700.24
ORD-2024-03670,2024-01-01,2024-01-02,Central,Jharkhand,Ranchi,Corporate,Furniture,Tables,Office Table,2,0.073,8186.08,197.99
ORD-2025-02439,2024-01-01,2024-01-06,Central,Chhattisgarh,Raipur,Consumer,Office Supplies,Art,Stapler,7,0.116,1313.21,288.16
ORD-2025-04685,2024-01-02,2024-01-05,South,Kerala,Kochi,Corporate,Office Supplies,Art,Pen Pack,6,0.056,1209.6,345.47
ORD-2025-01947,2024-01-02,2024-01-08,East,Bihar,Patna,Corporate,Technology,Accessories,Headphones X,6,0.1,21339.89,5009.57
ORD-2024-01480,2024-01-02,2024-01-09,West,Goa,Panaji,Corporate,Furniture,Chairs,Gaming Chair,6,0.0,25323.21,3620.82
ORD-2025-01993,2024-01-02,2024-01-06,East,Odisha,Bhubaneswar,Consumer,Furniture,Tables,Office Table,4,0.079,25652.35,3132.66
ORD-2025-01407,2024-01-02,2024-01-04,West,Rajasthan,Jaipur,Corporate,Furniture,Bookcases,Metal Bookcase,7,0.013,49715.58,10129.73
ORD-2024-05456,2024-01-02,2024-01-05,North,Punjab,Amritsar,Home Office,Office Supplies,Storage,Storage Box,7,0.126,2242.39,688.13
ORD-2025-03187,2024-01-03,2024-01-05,North,Delhi,New Delhi,Corporate,Furniture,Bookcases,Wood Bookcase,3,0.057,14992.39,1630.45
ORD-2025-01911,2024-01-03,2024-01-08,West,Gujarat,Ahmedabad,Consumer,Office Supplies,Storage,Storage Box,7,0.118,2067.8,436.74
ORD-2024-05164,2024-01-03,2024-01-07,East,Assam,Guwahati,Corporate,Technology,Phones,Smartphone A,7,0.0,58876.26,8433.23
ORD-2024-01620,2024-01-03,2024-01-04,East,Bihar,Patna,Consumer,Office Supplies,Binders,Ring Binder,3,0.018,942.92,342.93
ORD-2024-04106,2024-01-03,2024-01-04,North,Haryana,Faridabad,Consumer,Furniture,Chairs,Ergo Chair,2,0.263,6438.8,892.02
ORD-2025-04621,2024-01-03,2024-01-04,East,Odisha,Cuttack,Home Office,Office Supplies,Binders,Sheet Protectors,2,0.143,428.54,97.4
ORD-2025-01737,2024-01-03,2024-01-06,Central,Jharkhand,Ranchi,Consumer,Furniture,Chairs,Visitor Chair,7,0.034,33872.56,3012.85
ORD-2025-00381,2024-01-04,2024-01-07,North,Delhi,New Delhi,Consumer,Furniture,Bookcases,Metal Bookcase,2,0.042,11926.67,679.54
ORD-2024-03230,2024-01-04,2024-01-05,East,West Bengal,Siliguri,Consumer,Technology,Phones,Smartphone B,6,0.052,61953.64,19196.96
ORD-2024-01548,2024-01-04,2024-01-09,West,Maharashtra,Nagpur,Consumer,Furniture,Bookcases,Wood Bookcase,5,0.0,28358.48,2816.11
ORD-2025-05291,2024-01-04,2024-01-08,North,Punjab,Amritsar,Home Office,Office Supplies,Art,Stapler,5,0.044,808.79,-74.14
ORD-2024-04592,2024-01-04,2024-01-05,Central,Chhattisgarh,Raipur,Corporate,Furniture,Bookcases,Metal Bookcase,5,0.032,32324.9,-1167.42
ORD-2024-01292,2024-01-04,2024-01-09,East,West Bengal,Siliguri,Home Office,Office Supplies,Binders,Ring Binder,6,0.025,1467.96,200.04
ORD-2024-02642,2024-01-04,2024-01-11,Central,Jharkhand,Ranchi,Home Office,Technology,Computers,Laptop Air,5,0.138,51793.0,8292.24
ORD-2025-02785,2024-01-04,2024-01-11,South,Telangana,Hyderabad,Corporate,Furniture,Bookcases,Wood Bookcase,4,0.118,21222.04,4782.56
ORD-2025-03213,2024-01-04,2024-01-11,Central,Jharkhand,Ranchi,Home Office,Technology,Accessories,Powerbank Z,4,0.072,7998.37,1821.86
ORD-2024-00844,2024-01-04,2024-01-07,Central,Chhattisgarh,Raipur,Consumer,Office Supplies,Storage,Desk Organizer,6,0.133,1652.74,421.71
ORD-2025-00845,2024-01-04,2024-01-11,East,Bihar,Patna,Home Office,Furniture,Bookcases,Wood Bookcase,5,0.105,21851.38,2464.66
ORD-2024-00900,2024-01-04,2024-01-11,North,Delhi,New Delhi,Corporate,Technology,Computers,Laptop Air,1,0.037,9517.45,1800.47
ORD-2024-00772,2024-01-04,2024-01-06,West,Maharashtra,Pune,Corporate,Office Supplies,Storage,Label Maker,4,0.113,1382.96,292.88
ORD-2025-01235,2024-01-04,2024-01-10,West,Goa,Panaji,Corporate,Office Supplies,Storage,Label Maker,7,0.171,1669.19,304.95
ORD-2025-02625,2024-01-04,2024-01-05,West,Goa,Panaji,Consumer,Technology,Accessories,Headphones X,7,0.066,24677.43,2885.22
ORD-2025-04879,2024-01-05,2024-01-11,North,Punjab,Ludhiana,Corporate,Technology,Computers,Desktop Mini,6,0.11,63352.64,1791.81
ORD-2024-04050,2024-01-05,2024-01-06,Central,Jharkhand,Ranchi,Corporate,Furniture,Chairs,Gaming Chair,5,0.045,25390.76,4540.83
ORD-2025-05713,2024-01-05,2024-01-11,South,Tamil Nadu,Coimbatore,Home Office,Furniture,Chairs,Visitor Chair,7,0.096,25851.43,4029.26
ORD-2024-02398,2024-01-05,2024-01-07,North,Delhi,New Delhi,Home Office,Furniture,Bookcases,Wood Bookcase,6,0.012,38733.22,11515.87
ORD-2025-00465,2024-01-05,2024-01-09,Central,Madhya Pradesh,Bhopal,Consumer,Technology,Computers,Laptop Air,5,0.063,40776.61,6781.39
ORD-2025-01277,2024-01-06,2024-01-13,Central,Jharkhand,Ranchi,Home Office,Furniture,Tables,Conference Table,5,0.169,24379.93,3514.7
ORD-2024-01188,2024-01-06,2024-01-12,South,Karnataka,Mysuru,Corporate,Technology,Accessories,Charger Y,1,0.23,2982.12,465.15
ORD-2025-04683,2024-01-06,2024-01-08,Central,Jharkhand,Ranchi,Consumer,Technology,Accessories,Charger Y,3,0.0,8600.78,386.84
ORD-2025-05837,2024-01-06,2024-01-12,Central,Chhattisgarh,Raipur,Consumer,Furniture,Tables,Office Table,1,0.159,5878.18,759.65
ORD-2025-03395,2024-01-06,2024-01-09,Central,Jharkhand,Ranchi,Corporate,Office Supplies,Art,Pen Pack,2,0.157,352.31,68.93
ORD-2024-00706,2024-01-06,2024-01-09,West,Gujarat,Surat,Corporate,Technology,Phones,Feature Phone C,1,0.14,9837.03,1703.64
ORD-2024-00104,2024-01-06,2024-01-13,North,Uttar Pradesh,Noida,Home Office,Technology,Accessories,Headphones X,4,0.028,15190.07,755.22
ORD-2025-00575,2024-01-06,2024-01-10,East,Bihar,Patna,Corporate,Office Supplies,Storage,Label Maker,2,0.2,531.03,71.05
ORD-2025-02199,2024-01-06,2024-01-12,East,Odisha,Bhubaneswar,Corporate,Furniture,Bookcases,Wood Bookcase,3,0.078,18496.29,2409.39
ORD-2024-04356,2024-01-06,2024-01-13,East,Bihar,Patna,Corporate,Furniture,Chairs,Visitor Chair,1,0.119,4181.65,-207.89
ORD-2024-01530,2024-01-07,2024-01-14,West,Maharashtra,Mumbai,Consumer,Technology,Accessories,Charger Y,2,0.095,4950.28,861.97
ORD-2024-04762,2024-01-07,2024-01-12,North,Uttar Pradesh,Kanpur,Home Office,Technology,Accessories,Powerbank Z,4,0.073,13354.46,3026.62
ORD-2024-02440,2024-01-07,2024-01-13,East,Bihar,Patna,Home Office,Technology,Accessories,Powerbank Z,2,0.079,6590.95,755.32
ORD-2025-01805,2024-01-07,2024-01-13,North,Punjab,Ludhiana,Consumer,Office Supplies,Art,Stapler,2,0.017,319.6,82.74
ORD-2025-01173,2024-01-07,2024-01-12,West,Gujarat,Vadodara,Corporate,Technology,Computers,Laptop Air,6,0.152,64106.14,-5628.98
ORD-2025-03721,2024-01-07,2024-01-12,South,Kerala,Kochi,Home Office,Technology,Computers,Laptop Air,5,0.304,46209.35,-1907.14
ORD-2024-04126,2024-01-07,2024-01-09,East,West Bengal,Kolkata,Home Office,Technology,Accessories,Charger Y,4,0.075,16106.06,3288.93
ORD-2025-01761,2024-01-08,2024-01-10,South,Telangana,Hyderabad,Consumer,Office Supplies,Paper,Envelopes,3,0.049,436.07,76.37
ORD-2024-03794,2024-01-08,2024-01-15,South,Tamil Nadu,Chennai,Corporate,Office Supplies,Binders,Sheet Protectors,3,0.029,638.92,169.3
